en_query	cs_query
Who is the featured performer at The Grand Ole Opry this Saturday night	Is Saturday night The Grand Ole Opry me featured performer kya hai
Remind me of my meeting at 12 am	mujhe 12 am ko meri meeting ke baare me yaad dilaayen
set an alarm for 5 am	subha 5 baje ke liye ek alarm set karen
What ’ s will weather be like at Sydney at 2 pm	dopaher 2 baje Sydney me mausam kaisa hoga
What is the weather in Canada ?	Canada me mausam kaisa hai ?
Delete weekend alarm	weekend alarm ko delete karo
what is temperature now	abhi ka temperature kya hai
How long will it take me to drive from here to Cades Cove TN via Interstate 90 ?	Interstate 90 ke zariye yaha se Cades Cove TN tak drive karke jaane me kitna samay lagega ?
set an alarm for midnight on the 30th may	30 may ke midnight ke liye alarm set kare
please replay that song	please wo song ko phir se bajao
Cancel that alarm for tonight , please	Please aaj raat ke liye wo alarm cancel kare
change the channel to Spotify	channel ko Spotify me badal do
Give me a weather update for Perth at 5 pm tomorrow ?	kal 5 pm ko mujhe Perth ke liye weather update de ?
delete Tokyo for my weather app	mere weather app ke liye Tokyo ko delete kardo
Set an alert time for 9 : 15 AM next Monday .	agle Monday 9 : 15 AM ke liye ek alert time set karen .
Turn snooze alarm off	snooze alarm band kare
What are some kid friendly events happening in the morning tomorrow	kal subha kuch bacchon ke liye events kya hai
How damn hot is it supposed to get today ?	aaj kitni damn garmi honi chahiye ?
Remind me to take the recycling to the curb every other Tuesday .	Mujhe har dusre Tuesday ko recycling ko curb me le jane ke liye yaad dilaayen .
Add Brian and Matt to all reminders involving steak dinner this month .	is mahine steak dinner ke sabhi reminders me Brian aur Matt ko add karen .
Get the time it will take me to get to Houston on I 95 .	mujhe I 95 par Houston pahuchne mei kitni der lagegi .
What is the highest expected temperature for today ?	Aaj ke liye highest expected temperature kya hai ?
Set a 20 - minute timer for my jog .	mere jog ke liye 20 - minute timer set kare
should I wear a raincoat today ?	Kya aaj mujhe raincoat pehenna chahiye ?
Please remind me to mail in my job application before Friday at 1 : 00 pm	please mujhe Friday 1 : 00 pm se pehle mera job application mail karne ke liye yaad dilayen
what is the humidity for friday	friday ke liye humidity kya hai
What time is my alarm set for ?	mere alarms kya time ke liye set kare gaye hai
Climatic condition over this season	is season ke liye average climatic condition
